2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Replaced infinite values -> 0 rows affected
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Dropped NaN rows: 0 removed
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Dropped duplicates: 0 removed
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Cleaning complete: 3400 -> 3400 rows (0 removed, 0.0%)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Encoding labels...
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Label mapping (15 classes):
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   0: BENIGN (600 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   1: Bot (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   2: DDoS (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   3: DoS GoldenEye (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   4: DoS Hulk (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   5: DoS Slowhttptest (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   6: DoS slowloris (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   7: FTP-Patator (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   8: Heartbleed (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   9: Infiltration (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   10: PortScan (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   11: SSH-Patator (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   12: Web Attack - Brute Force (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   13: Web Attack - Sql Injection (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   14: Web Attack - XSS (200 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Splitting data: test=0.2, val=0.1, seed=42
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Train: 2380 samples
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Val:   340 samples
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Test:  680 samples
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Scaling features with StandardScaler...
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Scaling complete. Train mean: 0.0000, Train std: 1.0000
2026-04-04 16:17:09 | xai_ids.models       | INFO     | Training logistic_regression...
2026-04-04 16:17:09 | xai_ids.models       | INFO     |   Parameters: {'max_iter': 1000, 'random_state': 42, 'solver': 'lbfgs', 'n_jobs': -1, 'C': 1.0, 'class_weight': 'balanced'}
2026-04-04 16:17:09 | xai_ids.models       | INFO     |   Training samples: 2380
2026-04-04 16:17:10 | xai_ids.models       | INFO     |   Training time: 0.91 seconds
2026-04-04 16:17:10 | xai_ids.models       | INFO     |   Training accuracy: 0.7000
2026-04-04 16:17:10 | xai_ids.models       | INFO     |   Saved model to /tmp/pytest-of-codespace/pytest-8/test_mini_pipeline0/models/logistic_regression.joblib
2026-04-04 16:17:10 | xai_ids.evaluation   | INFO     | 
logistic_regression Evaluation Results:
2026-04-04 16:17:10 | xai_ids.evaluation   | INFO     |   Accuracy:  0.5118
2026-04-04 16:17:10 | xai_ids.evaluation   | INFO     |   Precision: 0.5103
2026-04-04 16:17:10 | xai_ids.evaluation   | INFO     |   Recall:    0.5118
2026-04-04 16:17:10 | xai_ids.evaluation   | INFO     |   F1-Score:  0.5091
2026-04-04 16:17:10 | xai_ids.evaluation.stats | WARNING  | Both models agree on all samples; McNemar's test undefined
2026-04-04 16:17:10 | xai_ids.evaluation.stats | WARNING  | Both models agree on all samples; McNemar's test undefined
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | McNemar's test: chi2=0.0167, p=0.897279 (n01=30, n10=30)
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | McNemar's test: chi2=0.0167, p=0.897279 (n01=30, n10=30)
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | McNemar's test: chi2=0.0000, p=1.000000 (n01=27, n10=26)
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | McNemar's test: chi2=0.0000, p=1.000000 (n01=27, n10=26)
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | Paired t-test: t=0.0000, p=1.000000
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | Paired t-test: t=0.0000, p=1.000000
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | Paired t-test: t=8937644551631322.0000, p=0.000000
2026-04-04 16:17:10 | xai_ids.evaluation.stats | INFO     | Paired t-test: t=8937644551631322.0000, p=0.000000
2026-04-04 16:17:25 | xai_ids.evaluation.adversarial | WARNING  | adversarial-robustness-toolbox not installed; skipping
2026-04-04 16:17:26 | xai_ids.evaluation.adversarial | INFO     | XCS on adversarial: clean=0.3380, adv=0.2980, drop=0.0400
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 2/3 shared features
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 2/2 shared features
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset src -> tgt: ID acc=0.9550, CD acc=0.5700, drop=0.3850
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:17:26 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset source -> target: ID acc=0.9550, CD acc=0.4600, drop=0.4950
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 5/5 features drifted (100.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/3 features drifted (0.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Split 1: train_acc=0.9100, test_acc=0.5100, f1=0.4972, drift_rate=0.0%
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Split 2: train_acc=0.9450, test_acc=0.4500, f1=0.4415, drift_rate=0.0%
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:17:26 | xai_ids.evaluation.drift | INFO     | Split 3: train_acc=0.9367, test_acc=0.5600, f1=0.5436, drift_rate=0.0%
